SCENE #	SETUP #	SHOT #	SUBJECT	SHOT SIZE	CAMERA	ANGLE	MOVEMENT	EQUIPMENT	LENS	SOUND	NOTES	PRIORITY
4	1	A	Alex foreground, Ashley background	LS	ALEX'S PHONE	High Angle	Handheld	Handheld	24 mm	Boom	Alex and Ashley walk through alley, Alex recording selfie	LOW
4	2	A	Mom, cake	MS	ALEX'S PHONE	High Angle	Handheld	Handheld	24 mm	Boom	Mom bringing out the cake	
4	3	A	Anyone	MS	ALEX'S PHONE	High Angle	Handheld	Handheld	24 mm	Boom	Someone eating cake	
4	4	A	Dad, Mom	LS	ALEX'S PHONE	High Angle	Handheld	Handheld	24 mm	Boom	Dad about to open present, while Mom comes to sit by him	
4	4	B	Dad, Ashley	MS	ALEX'S PHONE	Eyelevel	Handheld	Handheld	24 mm	Boom	"We pick them special", then sweep to Ashley	
4	5	A	Alex, Dad	MS	ASHLEY'S PHONE	Eyelevel	Handheld	Handheld	24 mm	Boom	Ashley sweeps to Alex, then back to Dad	
4	5	B	Dad	CU	ASHLEY'S PHONE	High Angle	Handheld	Handheld	24 mm	Boom	Dad pulls out glasses	
4	6	A	Dad	MS	ASHLEY'S PHONE	High Angle	Handheld	Handheld	24 mm	Boom	Dad freaks out	
4	10	A	Alex OTS Dad	MS (OTS)	A CAM	Low Angle	Static	Sticks / Tripod	35 mm	Boom		
4	20	A	Ashley OTS Dad	MS (OTS)	A CAM	Eyelevel	Static	Sticks / Tripod	50 mm	Boom		
4	20	B	Ashley OTS Mom	MS (OTS)	B CAM	Eyelevel	Static	Sticks / Tripod	35 mm	Boom		
4	22	A	Ashley FOTS Alex	MS (OTS)	A CAM	Eyelevel	Static	Sticks / Tripod	35 mm	Boom	Ashley exchanges looks with Alex	LOW
4	30	A	Dad OTS Ashley	LS	A CAM	Low Angle	Static	Sticks / Tripod	35 mm	Boom		
4	30	B	Dad OTS Alex	MS	B CAM	High Angle	Static	Sticks / Tripod	35 mm	Boom		
4	31	A	Dad FOTS Mom	MS	A CAM	Low Angle	Static	Sticks / Tripod	35 mm	Boom		
4	40	A	Mom FOTS Dad	MS	A CAM	Low Angle	Static	Sticks / Tripod	35 mm	Boom	"David?"	
4	42	A	Mom OTS Ashley	MS (OTS)	A CAM	Eyelevel	Tilt	Sticks / Tripod	35 mm	Boom	Tilt up when Mom stands	
4	50	A	Mom, Dad OTS Kids	LS	A CAM	Eyelevel	Static	Sticks / Tripod	17 mm	Boom	 	
4	52	A	Kids OTS Mom, Dad	LS	A CAM	Low Angle	Static	Sticks / Tripod	17 mm	Boom		
4	60	A	Alex, Ashley OTS Mom	LS	A CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		
4	61	A	Alex, Ashley OTS Mom	MS (OTS)	A CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		
4	62	A	Dad foreground, all background	LS	A CAM	Eyelevel	Static	Sticks / Tripod	35 mm	Boom		
4	70	A	Mom	MS	A CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		
4	80	A	Nick	MS	A CAM	Eyelevel	Handheld	Handheld	50 mm	Lav		MEDIUM
4	81	A	Nick OTS Mom	LS	A CAM	Eyelevel	Rack Focus	Handheld	35 mm	Lav		
4	90	A	Mom OTS Dad	MS (OTS)	A CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		
4	100	A	Alex, Ashley OTS Dad	MS (OTS)	A CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		
4	101	A	Alex OTS Dad	CU (OTS)	A CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		MEDIUM
4	101	B	Ashley OTS Dad	CU (OTS)	B CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		MEDIUM
4	112	A	Dad OTS Kids	MS	A CAM	Eyelevel	Static	Sticks / Tripod	35 mm	Boom		
4	112	B	Dad	LS	B CAM	Eyelevel	Static	Sticks / Tripod	35 mm	Boom		
4	120	A	Dad, OTS Alex	CU (OTS)	A CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		
4	120	B	Dad, OTS Ashley	MS (OTS)	B CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		
4	121	A	Alex, OTS Dad	MS (OTS)	A CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		
4	121	B	Ashley, OTS Dad	MS (OTS)	B CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		
4	122	A	Mom	MS (OTS)	A CAM	Eyelevel	Handheld	Handheld	35 mm	Lav		
4	123	A	Alex, Ashley	MS	A CAM	Eyelevel	Static	Sticks / Tripod	35 mm	Boom		MEDIUM
4	130	A	Glasses (foreground), All (background)	LS	A CAM	Eyelevel	Static	Sticks / Tripod	35 mm	Boom		LOW
